pid,pname,X_gcj02,Y_gcj02,X_wgs84,Y_wgs84,X_bd09,Y_bd09,city,province,comment,rankInCity,rankInChin
3,鼓浪屿,118.067623,24.445391,118.0626,24.4481,118.074,24.4517,厦门,福建省,20001~50000,1,4
22,厦门大学,118.100086,24.436851,118.0951,24.4395,118.1065,24.443,厦门,福建省,10001~20000,2,23
82,曾厝垵,118.126514,24.426797,118.1216,24.4295,118.1331,24.4326,厦门,福建省,5001~10000,3,83
93,环岛路,118.109689,24.429816,118.1047,24.4324,118.1162,24.4358,厦门,福建省,5001~10000,4,94
118,南普陀寺,118.096618,24.440803,118.0916,24.4434,118.103,24.447,厦门,福建省,1001~5000,5,119
121,三坊七巷,119.296498,26.082313,119.2917,26.0854,119.303,26.0885,福州,福建省,1001~5000,1,122
147,云水谣古镇,117.095068,24.665129,117.0901,24.6678,117.1016,24.6712,漳州,福建省,1001~5000,1,148
153,武夷山国家公园,117.956346,27.652352,117.9514,27.6557,117.9628,27.6587,南平,福建省,1001~5000,1,154
154,日光岩,118.067547,24.442328,118.0625,24.445,118.0739,24.4486,厦门,福建省,1001~5000,6,155
183,中山路步行街,118.079222,24.453869,118.0742,24.4565,118.0856,24.4602,厦门,福建省,1001~5000,7,184
235,胡里山炮台,118.106468,24.429514,118.1015,24.4321,118.1129,24.4355,厦门,福建省,1001~5000,8,236
270,菽庄花园,118.069755,24.438921,118.0648,24.4416,118.0762,24.4452,厦门,福建省,1001~5000,9,271
318,厦门园林植物园,118.109618,24.448741,118.1046,24.4513,118.116,24.4547,厦门,福建省,1001~5000,10,319
321,田螺坑土楼群,117.060735,24.584232,117.0557,24.5869,117.0672,24.5898,漳州,福建省,1001~5000,2,322
362,武夷山九曲溪,117.931435,27.638637,117.9265,27.642,117.9379,27.6446,南平,福建省,1001~5000,2,363
425,大开元寺,118.585539,24.914307,118.581,24.9173,118.5919,24.9204,泉州,福建省,1001~5000,1,426
536,厦门湾·白塘湾火山公园,118.046079,24.224936,118.0412,24.2275,118.0526,24.2308,漳州,福建省,1001~5000,3,537
550,太姥山,120.185015,27.11036,120.1806,27.1136,120.1915,27.1161,宁德,福建省,1001~5000,1,551
604,清源山,118.611006,24.942874,118.6065,24.9459,118.6175,24.9486,泉州,福建省,1001~5000,2,605
606,皓月园,118.075623,24.441906,118.0706,24.4445,118.082,24.4482,厦门,福建省,1001~5000,11,607
614,福建土楼王景区,117.006485,24.661522,117.0017,24.6643,117.0129,24.6678,龙岩,福建省,1001~5000,1,615
655,厦门海底世界,118.071297,24.445865,118.0663,24.4486,118.0777,24.4523,厦门,福建省,1001~5000,12,656
671,福州云顶,119.01277,25.761929,119.008,25.7648,119.0192,25.7679,福州,福建省,501~1000,2,672
682,怀远楼,117.094542,24.672152,117.0895,24.6749,117.101,24.6783,漳州,福建省,501~1000,4,683
695,鼓山,119.410892,26.079276,119.406,26.0823,119.4174,26.0856,福州,福建省,501~1000,3,696
723,集美学村,118.092675,24.56628,118.0877,24.569,118.0991,24.5726,厦门,福建省,501~1000,13,724
740,云水谣景区,117.095668,24.666056,117.0907,24.6688,117.1022,24.6722,漳州,福建省,501~1000,5,741
776,白城沙滩,118.102891,24.432042,118.0979,24.4346,118.1093,24.4381,厦门,福建省,501~1000,14,777
789,平潭岛,119.73637,25.613511,119.7319,25.6164,119.7429,25.6197,福州,福建省,501~1000,4,790
790,崇武古城风景区,118.933415,24.872751,118.9289,24.8758,118.9398,24.8791,泉州,福建省,501~1000,3,791
803,大金湖,117.102172,26.864964,117.097,26.8682,117.1086,26.8712,三明,福建省,501~1000,1,804
805,钢琴博物馆,118.069819,24.43828,118.0648,24.441,118.0762,24.4446,厦门,福建省,501~1000,15,806
820,天游峰,117.95237,27.649778,117.9475,27.6532,117.9589,27.6562,南平,福建省,501~1000,3,821
838,和贵楼,117.093617,24.657851,117.0886,24.6606,117.1001,24.664,漳州,福建省,501~1000,6,839
866,厦门科技馆,118.108222,24.490684,118.1032,24.4933,118.1147,24.4967,厦门,福建省,501~1000,16,867
885,永定土楼,116.974964,24.651809,116.9703,24.6547,116.9815,24.6579,龙岩,福建省,501~1000,2,886
913,风琴博物馆,118.068594,24.447126,118.0636,24.4498,118.075,24.4534,厦门,福建省,501~1000,17,914
924,连城冠豸山,116.786182,25.710917,116.7815,25.7139,116.7927,25.717,龙岩,福建省,501~1000,3,925
965,火山岛旅游休闲度假区,118.023621,24.207461,118.0187,24.2102,118.0301,24.2131,漳州,福建省,501~1000,7,966
974,东山岛,117.41166,23.691709,117.4066,23.6941,117.4182,23.6974,漳州,福建省,501~1000,8,975
1021,东山风动石景区,117.537861,23.734208,117.5331,23.7369,117.5444,23.7399,漳州,福建省,501~1000,9,1022
1029,福州国家森林公园,119.286265,26.161539,119.2815,26.1647,119.2927,26.1679,福州,福建省,501~1000,5,1030
1051,于山,119.307746,26.077875,119.3029,26.081,119.3142,26.084,福州,福建省,501~1000,6,1052
1130,罗源湾海洋世界,119.60407,26.453855,119.5996,26.4574,119.6106,26.4598,福州,福建省,501~1000,7,1131
1160,海坛古城,119.786367,25.464371,119.7819,25.4672,119.7929,25.4705,福州,福建省,501~1000,8,1161
1206,钟鼓索道,118.094161,24.452707,118.0892,24.4553,118.1006,24.4589,厦门,福建省,501~1000,18,1207
1284,厦门青少年天文科技馆,118.084756,24.481838,118.0798,24.4844,118.0912,24.4881,厦门,福建省,501~1000,19,1285
1285,白鹭洲公园,118.093374,24.473976,118.0884,24.4766,118.0998,24.4802,厦门,福建省,501~1000,20,1286
1286,五店市传统街区,118.578654,24.817626,118.5743,24.8206,118.5852,24.8238,泉州,福建省,501~1000,4,1287
1308,侠天下景区,118.546994,26.136016,118.5424,26.1393,118.5534,26.1423,三明,福建省,251~500,2,1309
1320,铁路文化公园,118.086801,24.445178,118.0818,24.4478,118.0932,24.4515,厦门,福建省,251~500,21,1321
1407,厦门大学芙蓉湖,118.098468,24.436715,118.0935,24.4393,118.1049,24.4429,厦门,福建省,251~500,22,1408
1449,大红袍景区,117.962473,27.667616,117.9575,27.6709,117.9689,27.6739,南平,福建省,251~500,4,1450
1454,白水洋风景区,119.05215,27.064212,119.0472,27.0674,119.0586,27.0705,宁德,福建省,251~500,2,1455
1458,海天堂构,118.072986,24.443094,118.068,24.4458,118.0794,24.4495,厦门,福建省,251~500,23,1459
1493,寨下大峡谷,117.075856,26.901996,117.0707,26.9052,117.0824,26.9078,三明,福建省,251~500,3,1494
1519,鼓浪屿名人蜡像馆,118.0752,24.444457,118.0702,24.4472,118.0816,24.4509,厦门,福建省,251~500,24,1520
1539,嘉庚公园,118.10548,24.565687,118.1005,24.5684,118.1119,24.5718,厦门,福建省,251~500,25,1540
1586,万国建筑博览,118.068698,24.446885,118.0637,24.4496,118.0751,24.4532,厦门,福建省,251~500,26,1587
1642,厦门园林博览苑,118.073127,24.572778,118.0681,24.5755,118.0795,24.5792,厦门,福建省,251~500,27,1643
1680,贝壳梦幻世界,118.063845,24.441248,118.0588,24.4439,118.0702,24.4475,厦门,福建省,251~500,28,1681
